date,symbol,name,open,high,low,close,change_percent,volume,amount,source
2026-05-14,000852,中证1000,8989.49,8991.85,8778.71,8778.71,-1.97,35634417700.0,730970000000.0,csindex
2026-05-14,399001,深证成指,16202.22,16207.75,15745.74,15745.74,-2.1381,873525492.0,1864136878600.0002,tencent
2026-05-14,399006,创业板指,4087.85,4090.42,3937.6,3951.14,-2.1591,250323172.0,887382494100.0,tencent
2026-05-14,899050,北证50,1445.51,1446.19,1384.78,1384.78,-3.73,994989033.0,26164000000.0,csindex
2026-05-15,000001,上证指数,4174.18,4191.81,4114.09,4135.39,-1.02,73316235700.0,1519240000000.0,csindex
2026-05-15,000300,沪深300,4911.62,4935.62,4832.69,4859.59,-1.12,27696776900.0,887687000000.0001,csindex
2026-05-15,000688,科创50,1724.36,1769.8,1669.99,1696.26,-1.67,2160121400.0,191146000000.0,csindex
2026-05-15,000852,中证1000,8786.38,8846.52,8616.06,8682.65,-1.09,35570731700.0,730238000000.0,csindex
2026-05-15,399001,深证成指,15753.19,15855.55,15447.4,15561.37,-1.1709,849695631.0,1825236172800.0,tencent
2026-05-15,399006,创业板指,3957.74,4002.73,3870.37,3929.06,-0.5588,245569819.0,876510686300.0,tencent
2026-05-15,899050,北证50,1386.21,1404.49,1370.23,1378.3,-0.47,904477938.0,25975000000.0,csindex
2026-05-18,000001,上证指数,4120.14,4145.66,4108.6,4131.53,-0.09,62723313700.0,1315084000000.0,csindex
2026-05-18,000300,沪深300,4836.33,4868.6,4806.15,4833.52,-0.54,23907758700.0,733453000000.0,csindex
2026-05-18,000688,科创50,1690.38,1748.1,1684.9,1709.96,0.81,1591395600.0,152427000000.0,csindex
2026-05-18,000852,中证1000,8645.76,8766.31,8610.74,8720.21,0.43,30042067200.0,628497000000.0,csindex
2026-05-18,399001,深证成指,15465.3,15658.11,15419.04,15530.23,-0.2001,738305604.0,1578895897800.0,tencent
2026-05-18,399006,创业板指,3895.07,3961.16,3883.4,3914.88,-0.3609,217646936.0,757350469300.0001,tencent
2026-05-18,899050,北证50,1373.14,1378.18,1353.0,1356.95,-1.55,773029928.0,23470000000.0,csindex
2026-05-19,000001,上证指数,4122.96,4170.29,4107.99,4169.54,0.92,61761106700.0,1306522000000.0,csindex
2026-05-19,000300,沪深300,4818.71,4854.52,4773.53,4852.88,0.4,23228085200.0,712401000000.0,csindex
2026-05-19,000688,科创50,1697.4,1776.26,1670.36,1775.13,3.81,1710436800.0,169325000000.0,csindex
2026-05-19,000852,中证1000,8691.38,8812.03,8602.05,8808.64,1.01,29921984500.0,628936000000.0,csindex
2026-05-19,399001,深证成指,15469.36,15585.04,15221.35,15569.91,0.2555,731216529.0,1580035927600.0,tencent
2026-05-19,399006,创业板指,3894.0,3918.31,3808.47,3908.44,-0.1645,223481304.0,762720750300.0,tencent
2026-05-19,899050,北证50,1358.08,1374.57,1353.0,1364.83,0.58,759623072.0,22667000000.0,csindex
2026-05-20,000001,上证指数,4152.7,4169.85,4139.97,4162.18,-0.18,62415203500.0,1358927000000.0,csindex
2026-05-20,000300,沪深300,4829.61,4866.21,4825.64,4850.7,-0.04,22002320600.0,729653000000.0,csindex
2026-05-20,000688,科创50,1764.21,1835.22,1764.21,1832.02,3.2,1845254200.0,190387000000.0,csindex
2026-05-20,000852,中证1000,8769.1,8823.68,8697.4,8808.91,0.0,30671918800.0,653946000000.0,csindex
2026-05-20,399001,深证成指,15487.43,15622.21,15426.38,15569.98,0.0004,726217958.0,1594787543000.0,tencent
2026-05-20,399006,创业板指,3889.68,3947.22,3887.15,3921.79,0.3416,222605616.0,756328408400.0,tencent
2026-05-20,899050,北证50,1360.24,1361.38,1339.35,1349.37,-1.13,756869779.0,23041000000.0,csindex
2026-05-21,000001,上证指数,4174.38,4199.53,4074.22,4077.28,-2.04,72721870100.0,1595727000000.0,csindex
2026-05-21,000300,沪深300,4886.24,4937.93,4780.71,4783.1,-1.39,28734250700.0,891936000000.0,csindex
2026-05-21,000688,科创50,1866.29,1892.6,1759.94,1764.17,-3.7,2127403800.0,216373999999.99997,csindex
2026-05-21,000852,中证1000,8852.43,8896.6,8500.92,8510.5,-3.39,35003795100.0,744490000000.0,csindex
